case,status,returncode,wall_time_s,clean,markers,component_geometry_markers,pin_access_markers,route_geometry_markers,routes,access_waveguides,invalid_access_waveguides,skipped_abnormal_nets,crossings,length,timing_lidar_convert_s,timing_cpp_load_design_s,timing_cpp_runtime_init_s,timing_cpp_route_core_s,timing_cpp_write_reports_s,timing_cpp_writeback_s,timing_cpp_write_def_s,timing_cpp_db_drc_s,timing_cpp_native_flow_s,timing_lidar_render_s,timing_lidar_full_flow_s,gds_exists,gds_bytes,input_yml,gds,flow_dir,db_drc_summary,stdout,stderr
toy_example_gp,ok,0,9.852,0,1,1,0,0,2,4,0,0,0,184.562000,5.017557,0.031995,0.000705,0.049993,0.002354,0.000112,0.001632,0.010831,0.099139,4.553231,9.672677,True,25680,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\toy_example\toy_example.gp.yml,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\toy_example_gp_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\toy_example_gp_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\toy_example_gp_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\toy_example_gp_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\toy_example_gp_cpp.stderr.txt
mrr_weight_bank_4x4,ok,0,10.481,1,0,0,0,0,42,84,0,0,6,3855.721690,3.464270,0.036573,0.005410,0.811489,0.007251,0.000622,0.003495,0.003185,0.868987,6.120488,10.458960,True,110570,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\mrr_weight_bank_4x4\mrr_weight_bank_4x4.yml,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_4x4_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_4x4_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_4x4_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_4x4_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_4x4_cpp.stderr.txt
mrr_weight_bank_8x8,ok,0,16.712,0,8,0,0,8,105,206,0,0,6,13939.585534,4.439286,0.060976,0.020769,1.210653,0.025678,0.003504,0.014290,0.013939,1.350785,10.887468,16.692146,True,174938,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\mrr_weight_bank_8x8\mrr_weight_bank_8x8.yml,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_8x8_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_8x8_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_8x8_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_8x8_cpp.stderr.txt
mrr_weight_bank_16x16,ok,0,45.214,0,90,0,0,90,374,740,0,0,30,54800.566747,7.264746,0.138367,0.083159,7.310558,0.147260,0.045524,0.055326,0.030331,7.811372,30.056226,45.189707,True,402270,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\mrr_weight_bank_16x16\mrr_weight_bank_16x16.yml,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_16x16_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_16x16_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_16x16_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\mrr_weight_bank_16x16_cpp.stderr.txt
clements_8x8,ok,0,28.076,1,0,0,0,0,79,158,0,0,0,21362.602000,14.507385,0.027970,0.059807,0.702268,0.042439,0.003319,0.009135,0.012265,0.858666,12.366878,27.770862,True,248750,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\clements_8x8\clements_8x8.yml,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\clements_8x8_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\clements_8x8_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\clements_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\clements_8x8_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\clements_8x8_cpp.stderr.txt
clements_16x16,ok,0,40.720,1,0,0,0,0,290,580,0,0,2,60348.255842,5.049313,0.049903,0.220847,5.454614,0.127788,0.033688,0.022608,0.009675,5.920161,29.604488,40.699283,True,872092,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\clements_16x16\clements_16x16.yml,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\clements_16x16_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\clements_16x16_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\clements_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\clements_16x16_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\clements_16x16_cpp.stderr.txt
multiportmmi_8x8,ok,0,29.109,1,0,0,0,0,177,354,0,0,33,23869.466657,4.344659,0.032759,0.062962,10.190470,0.060432,0.007177,0.013280,0.008332,10.376619,14.322794,29.085505,True,477528,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\multiportmmi_8x8\multiportmmi_8x8.yml,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_8x8_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_8x8_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_8x8_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_8x8_cpp.stderr.txt
multiportmmi_16x16,ok,0,97.911,1,0,0,0,0,349,698,0,0,63,87487.158796,5.138839,0.080693,0.187729,49.225611,0.192941,0.035937,0.024470,0.014088,49.762402,42.867733,97.887775,True,891584,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\multiportmmi_16x16\multiportmmi_16x16.yml,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_16x16_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_16x16_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_16x16_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_16x16_cpp.stderr.txt
multiportmmi_32x32,ok,0,257.368,0,1,0,0,1,694,1388,0,0,124,330308.867044,6.950419,0.123802,0.794439,113.991247,0.595647,0.088668,0.041351,0.053421,115.689436,134.105302,257.339780,True,1782596,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\multiportmmi_32x32\multiportmmi_32x32.yml,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_32x32_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_32x32_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_32x32_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_32x32_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\mfot_only_control_fullcase_20260706_115037\multiportmmi_32x32_cpp.stderr.txt
