"case","behavior_equal","status","clean","markers","routes","crossings","length_delta","core_time_new","core_time_old","gds_bytes_new","gds_bytes_old","gds_hash_equal","new_hash","old_hash"
"toy_example_gp","True","ok","0","1","2","0","0","0.046","0.07","25680","25824","False","C6D21F6D1152845BBFA0F642EFAD18CDF9F621EF5BAC2A01F369DE09D8E794A6","57DF4A4A2786694D06612B3FC315B971722CFDBBD974E7FEFF827C3CA91DBC1B"
"mrr_weight_bank_4x4","True","ok","1","0","42","6","0","0.814","0.967","106138","106238","False","7773AFA3F6B400BBC56B295E9F48A488A36A6507EFDFD6D058720467A69A90B9","87BA419E52930A6F4E89E00263A6909636F4881A5C9B9B2820CA5599FC6FFB14"
"mrr_weight_bank_8x8","True","ok","1","0","105","6","0","1.385","1.925","180022","180058","False","2AC75CB064657ADEBA4EA75FE3996C4AEE855B5EB7CFDDB59EA8066AA958800F","84962350EEDE6D0B8EF637D8DCAC73E88E5F74F66F6DB895F8F626A1ECA7C947"
"mrr_weight_bank_16x16","True","ok","0","11","373","29","0","8.714","8.372","402924","402752","False","826DFC196ADC70A009741A92583D8C7AAA98B7401E190C8F8AAA4DB7D604B687","9B742ECE0577AF5B0FFFB95DDEC5C98B871D2CE58C8E37A0F49CCEAB7DA8E737"
"clements_8x8","True","ok","1","0","79","0","0","0.718","0.712","248750","248974","False","4BDA1477F1318BFD4B276EA910AB3F7877F4BA5BB01DB69E1665F57B7E336E68","C65F9CF9852C61DBF1E1691FEFA488D8A98B3B7D9FE095E2D3C1756B4C3A0D87"
"clements_16x16","True","ok","1","0","290","2","0","6.368","6.771","872092","872460","False","2DDB7BC72820B00EC92777707C4EDC4E5D2818D6144206832D547FB64B804E4D","6053E09789AE4917971185A1B8B41BDAD9950D4B27839AC3B196D66F1B1D0A72"
"multiportmmi_8x8","True","ok","1","0","177","33","0","12.006","12.676","477528","478006","False","357BBFF328FFB8AAFE269F3352EE10280021F1FC0615E0087264C2EA69A96221","ECE29CB4FB2356E7205136C833E3CEC50F71C809E682D04D165C1FE91FF40DA0"
"multiportmmi_16x16","True","ok","1","0","349","63","0","49.647","53.283","891584","891708","False","7FC9E9864189F6FF16FDFDDBC84312B7B3EEFEF0380B1B1EAA25D4C601C64F20","58C58A65FB21A93D4671BF51596B3743EA62A5980148AF083EC6E108530844BE"
"multiportmmi_32x32","False","ok","1","0","695","125","-0.662002","116.641","124.073","1783390","1782790","False","26B74C2BBC480BBFC41FD063BFC682A0D93B6237967D3586F7BD84EC339EFA8E","5F4CE26FEC47E944F27CDE855CCABE07F0F011853C6D38CBC07762274101EF20"
