case,status,returncode,wall_time_s,clean,markers,component_geometry_markers,pin_access_markers,route_geometry_markers,routes,access_waveguides,invalid_access_waveguides,skipped_abnormal_nets,crossings,length,timing_lidar_convert_s,timing_cpp_load_design_s,timing_cpp_runtime_init_s,timing_cpp_route_core_s,timing_cpp_write_reports_s,timing_cpp_writeback_s,timing_cpp_write_def_s,timing_cpp_db_drc_s,timing_cpp_native_flow_s,timing_lidar_render_s,timing_lidar_full_flow_s,gds_exists,gds_bytes,input_yml,gds,flow_dir,db_drc_summary,stdout,stderr
toy_example_gp,ok,0,8.286,0,1,1,0,0,2,4,0,0,0,184.562000,3.290355,0.009643,0.000639,0.046364,0.001546,0.000084,0.001185,0.009271,0.069652,4.689907,8.053896,True,25680,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\toy_example\toy_example.gp.yml,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\toy_example_gp_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\toy_example_gp_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\toy_example_gp_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\toy_example_gp_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\toy_example_gp_cpp.stderr.txt
mrr_weight_bank_4x4,ok,0,12.332,1,0,0,0,0,42,84,0,0,6,3865.934690,4.167997,0.026869,0.004785,0.814456,0.067875,0.054740,0.008415,0.016611,0.995004,7.134327,12.303269,True,106138,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\mrr_weight_bank_4x4\mrr_weight_bank_4x4.yml,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_4x4_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_4x4_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_4x4_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_4x4_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_4x4_cpp.stderr.txt
mrr_weight_bank_8x8,ok,0,18.692,1,0,0,0,0,105,206,0,0,6,13953.884534,4.464123,0.045705,0.022468,1.385438,0.348116,0.253669,0.029788,0.007805,2.094516,12.087566,18.663915,True,180022,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\mrr_weight_bank_8x8\mrr_weight_bank_8x8.yml,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_8x8_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_8x8_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_8x8_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_8x8_cpp.stderr.txt
mrr_weight_bank_16x16,ok,0,59.517,0,11,0,0,11,373,738,0,0,29,54697.095747,8.062331,0.161582,0.085058,8.713563,3.641567,3.427452,0.053474,0.031976,16.116589,35.238405,59.480149,True,402924,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\mrr_weight_bank_16x16\mrr_weight_bank_16x16.yml,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_16x16_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_16x16_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_16x16_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\mrr_weight_bank_16x16_cpp.stderr.txt
clements_8x8,ok,0,19.672,1,0,0,0,0,79,158,0,0,0,21362.602000,4.059379,0.038310,0.101586,0.718307,0.051941,0.011498,0.006688,0.002677,0.932631,14.607477,19.638277,True,248750,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\clements_8x8\clements_8x8.yml,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\clements_8x8_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\clements_8x8_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\clements_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\clements_8x8_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\clements_8x8_cpp.stderr.txt
clements_16x16,ok,0,45.938,1,0,0,0,0,290,580,0,0,2,60348.255842,5.966033,0.050797,0.282322,6.367852,0.347720,0.229343,0.038007,0.022454,7.339341,32.462690,45.900244,True,872092,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\clements_16x16\clements_16x16.yml,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\clements_16x16_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\clements_16x16_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\clements_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\clements_16x16_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\clements_16x16_cpp.stderr.txt
multiportmmi_8x8,ok,0,32.164,1,0,0,0,0,177,354,0,0,33,23869.466657,4.481618,0.074978,0.097209,12.005671,0.127611,0.041794,0.013490,0.007364,12.369775,15.234315,32.127191,True,477528,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\multiportmmi_8x8\multiportmmi_8x8.yml,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_8x8_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_8x8_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_8x8_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_8x8_cpp.stderr.txt
multiportmmi_16x16,ok,0,101.398,1,0,0,0,0,349,698,0,0,63,87487.158796,5.738631,0.105601,0.258643,49.647146,0.421358,0.259920,0.035505,0.023837,50.753229,44.739710,101.370315,True,891584,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\multiportmmi_16x16\multiportmmi_16x16.yml,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_16x16_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_16x16_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_16x16_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_16x16_cpp.stderr.txt
multiportmmi_32x32,ok,0,272.395,1,0,0,0,0,695,1390,0,0,125,330274.266887,7.435821,0.101378,0.842297,116.640894,1.742163,0.736746,0.060848,0.088713,120.213969,144.055835,272.363414,True,1783390,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\multiportmmi_32x32\multiportmmi_32x32.yml,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_32x32_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_32x32_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_32x32_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_32x32_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\rollback_fullcase_20260706_015054\multiportmmi_32x32_cpp.stderr.txt
