case,status,returncode,wall_time_s,clean,markers,component_geometry_markers,pin_access_markers,route_geometry_markers,routes,access_waveguides,invalid_access_waveguides,skipped_abnormal_nets,crossings,length,timing_lidar_convert_s,timing_cpp_load_design_s,timing_cpp_runtime_init_s,timing_cpp_route_core_s,timing_cpp_write_reports_s,timing_cpp_writeback_s,timing_cpp_write_def_s,timing_cpp_db_drc_s,timing_cpp_native_flow_s,timing_lidar_render_s,timing_lidar_full_flow_s,gds_exists,gds_bytes,input_yml,gds,flow_dir,db_drc_summary,stdout,stderr
toy_example_gp,ok,0,8.013,0,1,1,0,0,2,4,0,0,0,184.562000,3.130266,0.012218,0.000953,0.069710,0.002262,0.000124,0.001405,0.002125,0.089723,4.760715,7.982673,True,25824,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\toy_example\toy_example.gp.yml,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\toy_example_gp_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\toy_example_gp_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\toy_example_gp_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\toy_example_gp_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\toy_example_gp_cpp.stderr.txt
mrr_weight_bank_4x4,ok,0,11.952,1,0,0,0,0,42,84,0,0,6,3865.934690,3.852561,0.038171,0.006113,0.966568,0.074253,0.086446,0.010905,0.017570,1.200833,6.856037,11.917290,True,106238,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\mrr_weight_bank_4x4\mrr_weight_bank_4x4.yml,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_4x4_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_4x4_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_4x4_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_4x4_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_4x4_cpp.stderr.txt
mrr_weight_bank_8x8,ok,0,20.258,1,0,0,0,0,105,206,0,0,6,13953.884534,4.900910,0.093342,0.021738,1.924611,0.245581,0.302108,0.025500,0.008701,2.623191,12.680223,20.226060,True,180058,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\mrr_weight_bank_8x8\mrr_weight_bank_8x8.yml,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_8x8_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_8x8_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_8x8_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_8x8_cpp.stderr.txt
mrr_weight_bank_16x16,ok,0,61.593,0,11,0,0,11,373,738,0,0,29,54697.095747,8.140965,0.128959,0.134148,8.371955,3.917125,3.704023,0.070986,0.033369,16.362617,36.991406,61.557981,True,402752,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\mrr_weight_bank_16x16\mrr_weight_bank_16x16.yml,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_16x16_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_16x16_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_16x16_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\mrr_weight_bank_16x16_cpp.stderr.txt
clements_8x8,ok,0,19.292,1,0,0,0,0,79,158,0,0,0,21362.602000,4.128446,0.036302,0.093700,0.712278,0.066066,0.018619,0.006138,0.003067,0.937255,14.162091,19.262198,True,248974,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\clements_8x8\clements_8x8.yml,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\clements_8x8_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\clements_8x8_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\clements_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\clements_8x8_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\clements_8x8_cpp.stderr.txt
clements_16x16,ok,0,46.984,1,0,0,0,0,290,580,0,0,2,60348.255842,5.653910,0.082011,0.328780,6.771362,0.360899,0.246389,0.044480,0.011223,7.847222,33.307178,46.947757,True,872460,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\clements_16x16\clements_16x16.yml,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\clements_16x16_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\clements_16x16_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\clements_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\clements_16x16_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\clements_16x16_cpp.stderr.txt
multiportmmi_8x8,ok,0,35.422,1,0,0,0,0,177,354,0,0,33,23869.466657,4.582020,0.064735,0.068524,12.675967,0.090427,0.058019,0.017288,0.005490,12.981789,17.788378,35.393280,True,478006,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\multiportmmi_8x8\multiportmmi_8x8.yml,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_8x8_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_8x8_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_8x8_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_8x8_cpp.stderr.txt
multiportmmi_16x16,ok,0,108.004,1,0,0,0,0,349,698,0,0,63,87487.158796,5.380801,0.116321,0.273965,53.283394,0.345582,0.243457,0.021987,0.031074,54.317413,48.107504,107.979072,True,891708,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\multiportmmi_16x16\multiportmmi_16x16.yml,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_16x16_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_16x16_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_16x16_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_16x16_cpp.stderr.txt
multiportmmi_32x32,ok,0,291.364,1,0,0,0,0,695,1390,0,0,125,330274.928889,8.158658,0.179502,1.192317,124.073370,1.272613,1.024460,0.061766,0.059516,127.865433,154.676256,291.320821,True,1782790,D:\xprogram\PIC-DB-main\PIC-DB-main\lidar_c_benchmarks\picroute\multiportmmi_32x32\multiportmmi_32x32.yml,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_32x32_cpp.gds,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_32x32_cpp_picdb_flow,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_32x32_cpp_picdb_flow\cpp\db_drc_summary.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_32x32_cpp.stdout.txt,D:\xprogram\lidar_c_inovation_2\results\fullcase_rerun_20260705\multiportmmi_32x32_cpp.stderr.txt
